,Time,temp_z-score_nov16,salinity_z-score_nov16,odo_z-score_nov16
18,17:55.4,2.730097654680238,2.2146076408928628,-0.001744529019874137
19,17:56.4,2.730097654680238,2.175319867674329,-0.03134700582587975
20,17:57.4,2.450496074290459,2.2538954141113963,-0.09055195943788572
21,17:58.4,2.450496074290459,2.2538954141113963,-0.09055195943788572
22,17:59.4,2.450496074290459,2.202821308927302,-0.12015443624388869
23,18:00.4,2.450496074290459,2.2813968553643695,-0.20896186666190028
24,18:01.4,2.450496074290459,2.2813968553643695,-0.20896186666190028
25,18:02.4,2.1708944939006805,2.1124594305246776,-0.1497569130498943
26,18:03.4,2.1708944939006805,2.053527770696876,-0.09055195943788572
27,18:04.4,2.1708944939006805,2.053527770696876,-0.09055195943788572
28,18:05.4,2.1708944939006805,2.1006730985591173,-0.09055195943788572
29,18:06.4,1.8912929135109016,2.073171657306144,-0.12015443624388869
30,18:07.4,1.8912929135109016,2.073171657306144,-0.12015443624388869
31,18:08.4,1.8912929135109016,1.9670946696161036,-0.09055195943788572
32,18:09.4,1.8912929135109016,1.9670946696161036,-0.09055195943788572
33,18:10.4,1.8912929135109016,1.8138723540638246,-0.03134700582587975
34,18:11.4,1.6116913331211227,1.9749522242598114,-0.03134700582587975
35,18:12.4,1.6116913331211227,1.9749522242598114,-0.03134700582587975
36,18:13.4,1.6116913331211227,1.9474507830068382,-0.001744529019874137
37,18:14.4,1.6116913331211227,1.9553083376505433,-0.001744529019874137
38,18:15.4,1.6116913331211227,1.9553083376505433,-0.001744529019874137
39,18:16.4,1.6116913331211227,1.912091787110157,-0.001744529019874137
40,18:17.4,1.6116913331211227,1.6488637065459881,0.027857947786128844
41,18:18.4,1.6116913331211227,1.6488637065459881,0.027857947786128844
42,18:19.4,1.6116913331211227,1.707795366373787,0.027857947786128844
43,18:20.4,1.3320950651411965,1.6881514797645187,-0.001744529019874137
44,18:21.4,1.3320950651411965,1.7745845808452911,-0.03134700582587975
45,18:22.4,1.3320950651411965,1.7745845808452911,-0.03134700582587975
46,18:23.4,1.3320950651411965,1.7549406942360257,-0.03134700582587975
47,18:24.4,1.3320950651411965,1.715652921017492,-0.03134700582587975
48,18:25.4,1.3320950651411965,1.715652921017492,-0.03134700582587975
49,18:26.4,1.3320950651411965,1.707795366373787,-0.03134700582587975
50,18:27.4,1.3320950651411965,1.7745845808452911,-0.06094948263188273
51,18:28.4,1.3320950651411965,1.7745845808452911,-0.06094948263188273
52,18:29.4,1.3320950651411965,1.6763651477989585,-0.03134700582587975
53,18:30.4,1.0524934847514178,1.707795366373787,-0.06094948263188273
54,18:31.4,1.0524934847514178,1.707795366373787,-0.06094948263188273
55,18:32.4,1.0524934847514178,1.613504710649307,-0.03134700582587975
56,18:33.4,1.0524934847514178,1.554573050821508,0.027857947786128844
57,18:34.4,1.0524934847514178,1.554573050821508,0.027857947786128844
58,18:35.5,1.0524934847514178,1.5467154961778002,-0.001744529019874137
59,18:36.5,1.0524934847514178,1.5467154961778002,-0.001744529019874137
60,18:37.5,1.0524934847514178,1.5467154961778002,-0.001744529019874137
61,18:38.5,1.0524934847514178,1.5427867188559476,-0.001744529019874137
62,18:39.5,1.0524934847514178,1.495641390993709,0.057460424592131826
63,18:40.6,1.0524934847514178,1.495641390993709,0.057460424592131826
64,18:41.6,1.0524934847514178,1.4642111724188804,0.027857947786128844
65,18:42.5,1.0524934847514178,1.4406385084877626,0.057460424592131826
66,18:43.6,1.0524934847514178,1.3974219579473766,0.08706290139813481
67,18:44.6,1.0524934847514178,1.3463478527632826,0.1758703318161464
68,18:45.6,0.772891904361639,1.3502766300851352,0.23507528542815498
69,18:46.6,0.772891904361639,1.3502766300851352,0.23507528542815498
70,18:47.6,0.772891904361639,1.3188464115103093,0.1758703318161464
71,18:48.6,0.772891904361639,1.169552873279883,0.20547280862214937
72,18:49.6,0.772891904361639,1.169552873279883,0.20547280862214937
73,18:50.6,0.772891904361639,1.1774104279235906,0.20547280862214937
74,18:51.6,0.772891904361639,1.322775188832162,0.1462678550101434
75,18:52.6,0.772891904361639,1.322775188832162,0.1462678550101434
76,18:53.6,0.772891904361639,1.24812841971695,0.1462678550101434
77,18:54.6,0.772891904361639,1.2206269784639767,0.20547280862214937
78,18:55.6,0.772891904361639,1.1931255372110037,0.20547280862214937
79,18:56.6,0.772891904361639,1.0791909948772582,0.23507528542815498
80,18:57.6,0.772891904361639,1.0791909948772582,0.23507528542815498
81,18:58.6,0.772891904361639,1.1420514320269097,0.1758703318161464
82,18:59.6,0.772891904361639,1.2324133104295372,0.1462678550101434
83,19:00.6,0.772891904361639,1.2324133104295372,0.1462678550101434
84,19:01.6,0.772891904361639,1.15383776399247,0.1758703318161464
85,19:02.6,0.772891904361639,1.094906104164671,0.1462678550101434
86,19:03.6,0.49329032397186023,0.9770427845090731,0.20547280862214937
87,19:04.6,0.49329032397186023,0.9770427845090731,0.20547280862214937
88,19:05.6,0.49329032397186023,1.1066924361302315,0.20547280862214937
89,19:06.6,0.49329032397186023,1.094906104164671,0.26467776223415795
90,19:07.6,0.49329032397186023,1.094906104164671,0.26467776223415795
91,19:08.6,0.49329032397186023,1.0831197721991106,0.29428023904016093
92,19:09.6,0.49329032397186023,0.992757893796486,0.3238827158461639
93,19:10.6,0.49329032397186023,1.0909773268428185,0.3238827158461639
94,19:11.6,0.49329032397186023,1.0909773268428185,0.3238827158461639
95,19:12.6,0.49329032397186023,1.0556183309461376,0.29428023904016093
96,19:13.6,0.49329032397186023,0.8473931328879121,0.3830876694581725
