,Time,temp_z-score_oct21,salinity_z-score_oct21,odo_z-score_oct21
8,56:29.5,2.9357257138540116,0.6393597751477254,-0.8434526886837793
9,56:30.5,2.8155831593774443,0.6417028853110587,-0.8248225273517046
10,56:31.5,2.8155831593774443,0.6393597751477254,-0.8248225273517046
11,56:32.5,2.695445182227385,-0.4322226062167001,0.013534732591676814
12,56:33.5,2.5753026277508178,0.6331114813788367,-0.7875622046875551
13,56:34.5,2.5753026277508178,0.6307683712155033,-0.7689320433554787
14,56:35.5,2.335024402808404,0.6221769672832813,-0.7689320433554787
15,56:36.5,2.335024402808404,0.6221769672832813,-0.750301882023404
16,56:37.5,2.2148841430020774,0.6221769672832813,-0.7316717206913292
17,56:38.5,2.2148841430020774,0.6198338571199479,-0.7316717206913292
18,56:39.6,2.0947461658520177,0.6135855633510593,-0.7130415593592545
19,56:40.6,2.0947461658520177,0.6135855633510593,-0.7130415593592545
20,56:41.6,2.0947461658520177,0.6112424531877259,-0.6944113980271781
21,56:42.6,1.9746059060456909,0.6081183063032816,-0.6944113980271781
22,56:43.6,1.854465646239364,-0.28148251904225835,0.013534732591676814
23,56:44.6,1.854465646239364,-2.5683580384555516,2.006961995123715
24,56:45.6,1.854465646239364,0.6026510492555038,-0.6757812366951034
25,56:46.9,1.7343253864330372,-1.8724543199455637,1.3921666711652372
26,56:47.9,1.7343253864330372,-1.8724543199455637,1.3921666711652372
27,56:48.9,1.6141851266267102,0.5964027554866151,-0.6571510753630286
28,56:49.9,1.6141851266267102,-0.04170424566115144,-0.17276688072907553
29,56:50.9,1.6141851266267102,0.5917165351599484,-0.6385209140309539
30,56:51.9,1.494047149476651,0.5885923882755041,-0.6198907526988775
31,56:52.9,1.494047149476651,0.5885923882755041,-0.6198907526988775
32,56:53.9,1.494047149476651,0.5870303148332817,-0.6198907526988775
33,56:54.9,1.494047149476651,0.5831251312277264,-0.6012605913668028
34,56:55.9,1.494047149476651,0.5831251312277264,-0.6012605913668028
35,56:56.9,1.373906889670324,0.580782021064393,-0.6012605913668028
36,56:57.9,1.373906889670324,0.5784389109010596,-0.6012605913668028
37,56:58.9,1.373906889670324,0.5784389109010596,-0.6012605913668028
38,56:59.9,1.2537666298639971,0.5745337272955043,-0.582630430034728
39,57:00.9,1.2537666298639971,0.5745337272955043,-0.582630430034728
40,57:01.9,1.2537666298639971,0.24025001065995463,-0.32180817138567674
41,57:03.0,1.2537666298639971,0.5698475069688376,-0.5640002687026533
42,57:04.0,1.13362637005767,0.5682854335266152,-0.5640002687026533
43,57:05.0,1.13362637005767,0.5682854335266152,-0.5640002687026533
44,57:06.0,1.13362637005767,-1.3585321574544618,1.0009332831916578
45,57:07.0,1.13362637005767,0.5659423233632823,-0.5640002687026533
46,57:08.0,1.13362637005767,0.36599692275884127,-0.39632881671397735
47,57:09.0,1.13362637005767,0.36599692275884127,-0.39632881671397735
48,57:10.0,1.0134861102513433,0.5612561030366156,-0.5453701073705769
49,57:11.1,1.0134861102513433,0.5604750663155047,-0.5267399460385022
50,57:12.1,1.0134861102513433,0.5604750663155047,-0.5267399460385022
51,57:13.1,1.0134861102513433,0.5589129928732822,-0.5267399460385022
52,57:14.1,1.0134861102513433,0.5589129928732822,-0.5267399460385022
53,57:15.1,0.8933481331012839,0.555007809267727,-0.5081097847064274
54,57:16.1,0.8933481331012839,0.555007809267727,-0.5081097847064274
55,57:17.1,0.8933481331012839,0.5518836623832826,-0.5081097847064274
56,57:18.1,0.8933481331012839,0.5518836623832826,-0.5081097847064274
57,57:19.1,0.8933481331012839,-1.3561890472911284,1.0754539285199585
58,57:20.1,0.8933481331012839,-1.3561890472911284,1.0754539285199585
59,57:21.1,0.8933481331012839,0.5487595154988377,-0.4894796233743527
60,57:22.1,0.773207873294957,0.546416405335505,-0.4708494620422763
61,57:23.1,0.773207873294957,0.546416405335505,-0.4708494620422763
62,57:24.1,0.773207873294957,0.5214232302599497,-0.4708494620422763
63,57:25.1,0.773207873294957,0.5425112217299491,-0.4708494620422763
64,57:26.1,0.773207873294957,0.5425112217299491,-0.4708494620422763
65,57:27.1,0.773207873294957,-2.57460633222444,2.211893769776542
66,57:28.1,0.773207873294957,0.5425112217299491,-0.4708494620422763
67,57:29.1,0.773207873294957,0.45425407224439546,-0.4149589780460521
68,57:30.1,0.773207873294957,0.45425407224439546,-0.4149589780460521
69,57:31.1,0.6530676134886301,0.5378250014032829,-0.45221930071020155
70,57:32.1,0.6530676134886301,0.5378250014032829,-0.45221930071020155
71,57:33.1,0.6530676134886301,0.5370439646821714,-0.4335891393781268
72,57:34.1,0.6530676134886301,0.5370439646821714,-0.4335891393781268
73,57:35.1,0.6530676134886301,0.5339198177977271,-0.45221930071020155
74,57:36.1,0.6530676134886301,0.534700854518838,-0.45221930071020155
75,57:37.1,0.6530676134886301,0.534700854518838,-0.45221930071020155
76,57:38.1,0.5329273536823033,-2.451983567009998,2.100112801784092
77,57:39.1,0.5329273536823033,0.5206421935388383,-0.45221930071020155
78,57:40.1,0.5329273536823033,0.5331387810766162,-0.45221930071020155
79,57:41.1,0.5329273536823033,0.5284525607499494,-0.45221930071020155
80,57:42.1,0.5329273536823033,0.5284525607499494,-0.45221930071020155
81,57:43.1,0.5329273536823033,0.5143938997699496,-0.4335891393781268
82,57:44.1,0.5329273536823033,0.5276715240288384,-0.45221930071020155
83,57:45.2,0.5329273536823033,0.5276715240288384,-0.45221930071020155
84,57:46.2,0.5329273536823033,-0.5056400580011436,0.38613795923317984
