,Time,temp_z-score_dec16,salinity_z-score_dec16,odo_z-score_dec16
0,42:46.6,2.9921039409236396,0.23683020120341192,1.7302443459857457
1,42:47.6,2.9921039409236396,0.2390929854393009,1.6157450089172456
2,42:48.6,2.9921039409236396,0.23683020120341192,1.5012456718487457
3,42:49.7,2.9921039409236396,0.23230463273163307,1.2886040458643893
4,42:50.7,2.9921039409236396,0.23230463273163307,1.2886040458643893
5,42:51.7,2.9921039409236396,0.23230463273163307,1.1741047087958891
6,42:52.7,2.9921039409236396,0.21307096672657239,0.9941771791168192
7,42:53.7,2.9921039409236396,0.21307096672657239,0.9941771791168192
8,42:54.7,2.9921039409236396,0.22664767214190892,0.8796778420483191
9,42:55.7,2.9921039409236396,0.23117324061368774,0.6997503123692477
10,42:56.7,2.9921039409236396,0.23117324061368774,0.6997503123692477
11,42:57.7,2.9921039409236396,0.23117324061368774,0.617965071606034
12,42:58.7,2.9921039409236396,0.23230463273163307,0.5034657345375353
13,42:59.7,2.9921039409236396,0.2492755145008039,0.3398952530111064
14,43:00.7,2.9921039409236396,0.2492755145008039,0.3398952530111064
15,43:01.7,2.9921039409236396,0.2515382987366929,0.24175296409525018
16,43:02.7,2.9921039409236396,0.19723147707534605,0.11089657887410762
17,43:03.7,2.9921039409236396,0.19723147707534605,0.11089657887410762
18,43:04.7,1.324447442395104,0.20288843766506942,0.045468386263536324
19,43:05.8,1.324447442395104,0.26737778838791926,-0.11810209526289261
20,43:06.8,1.324447442395104,0.26737778838791926,-0.11810209526289261
21,43:07.7,1.324447442395104,0.24701273026491408,-0.16717323972082
22,43:08.8,1.324447442395104,0.2481441223828586,-0.19988733602610637
23,43:09.8,1.324447442395104,0.22891045637779875,-0.24895848048403374
24,43:10.8,1.324447442395104,0.24588133814696958,-0.2816725767893201
25,43:11.8,2.9921039409236396,0.2481441223828586,-0.314386673094605
26,43:12.8,2.9921039409236396,0.24588133814696958,-0.3798148657051763
27,43:13.8,2.9921039409236396,0.24588133814696958,-0.3798148657051763
28,43:14.8,2.9921039409236396,0.2492755145008039,-0.4288860101631051
29,43:15.8,2.9921039409236396,0.2492755145008039,-0.44524305831574756
30,43:16.8,2.9921039409236396,0.2492755145008039,-0.44524305831574756
31,43:17.8,2.9921039409236396,0.2504069066187484,-0.47795715462103394
32,43:18.8,2.9921039409236396,0.2515382987366929,-0.4943142027736764
33,43:19.8,2.9921039409236396,0.2515382987366929,-0.4943142027736764
34,43:20.8,2.9921039409236396,0.2515382987366929,-0.5106712509263188
35,43:21.9,2.9921039409236396,0.24474994602902508,-0.5270282990789628
36,43:22.9,2.9921039409236396,0.24474994602902508,-0.5270282990789628
37,43:23.9,2.9921039409236396,0.24361855391107975,-0.5597423953842476
38,43:24.9,2.9921039409236396,0.24361855391107975,-0.5597423953842476
39,43:25.9,2.9921039409236396,0.2515382987366929,-0.5597423953842476
40,43:26.9,2.9921039409236396,0.24701273026491408,-0.5760994435368901
41,43:27.9,1.324447442395104,0.24701273026491408,-0.5924564916895341
42,43:28.9,2.9921039409236396,0.24701273026491408,-0.625170587994819
43,43:29.9,2.9921039409236396,0.24701273026491408,-0.625170587994819
44,43:30.9,1.324447442395104,0.2492755145008039,-0.625170587994819
45,43:31.9,1.324447442395104,0.2504069066187484,-0.6415276361474614
46,43:32.9,1.324447442395104,0.2504069066187484,-0.6415276361474614
47,43:33.9,1.324447442395104,0.2481441223828586,-0.6578846843001046
48,43:34.9,1.324447442395104,0.25493247509052724,-0.6905987806053903
49,43:35.9,1.324447442395104,0.25493247509052724,-0.6905987806053903
50,43:36.9,1.324447442395104,0.25380108297258275,-0.6905987806053903
51,43:37.9,1.324447442395104,0.25380108297258275,-0.7069558287580328
52,43:38.9,1.324447442395104,0.25380108297258275,-0.7069558287580328
53,43:39.9,1.324447442395104,0.25719525932641707,-0.7069558287580328
54,43:41.0,1.324447442395104,0.25493247509052724,-0.7069558287580328
55,43:42.0,1.324447442395104,0.25493247509052724,-0.7069558287580328
56,43:42.9,1.324447442395104,0.2515382987366929,-0.7069558287580328
57,43:44.0,1.324447442395104,0.2515382987366929,-0.7069558287580328
58,43:45.0,1.324447442395104,0.2492755145008039,-0.7069558287580328
59,43:46.0,1.324447442395104,0.2515382987366929,-0.7069558287580328
60,43:47.0,1.324447442395104,0.2515382987366929,-0.7069558287580328
61,43:48.0,1.324447442395104,0.2492755145008039,-0.6905987806053903
62,43:48.9,1.324447442395104,0.2492755145008039,-0.7069558287580328
63,43:50.0,1.324447442395104,0.2492755145008039,-0.7069558287580328
64,43:50.9,1.324447442395104,0.2492755145008039,-0.7233128769106759
65,43:52.0,1.324447442395104,0.2504069066187484,-0.7233128769106759
66,43:53.0,1.324447442395104,0.2492755145008039,-0.7396699250633184
67,43:54.0,1.324447442395104,0.2492755145008039,-0.7233128769106759
68,43:54.9,1.324447442395104,0.2492755145008039,-0.7233128769106759
69,43:55.9,1.324447442395104,0.2492755145008039,-0.7069558287580328
70,43:57.0,1.324447442395104,0.24588133814696958,-0.7233128769106759
