,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
43,30:11.6,29.0,39.56,2.65,-0.2082560191847763,0.9982502242061166,-0.9800961282790377,2024-10-07
44,30:12.6,29.0,40.19,2.59,-0.2082560191847763,1.0361218146629338,-1.0073943085555006,2024-10-07
45,30:13.6,29.0,40.19,2.59,-0.2082560191847763,1.0361218146629338,-1.0073943085555006,2024-10-07
46,30:14.6,29.0,39.71,2.58,-0.2082560191847763,1.0072672695529779,-1.0119440052682442,2024-10-07
47,30:15.6,29.0,40.02,2.53,-0.2082560191847763,1.025902496603158,-1.0346924888319633,2024-10-07
48,30:16.6,29.0,40.02,2.53,-0.2082560191847763,1.025902496603158,-1.0346924888319633,2024-10-07
49,30:17.6,29.0,39.27,2.52,-0.2082560191847763,0.9808172698688515,-1.0392421855447072,2024-10-07
50,30:18.6,29.0,39.56,2.5,-0.2082560191847763,0.9982502242061166,-1.0483415789701946,2024-10-07
51,30:19.6,29.0,39.57,2.47,-0.2082560191847763,0.998851360562574,-1.061990669108426,2024-10-07
52,30:20.6,29.0,39.57,2.47,-0.2082560191847763,0.998851360562574,-1.061990669108426,2024-10-07
53,30:21.6,29.0,39.61,2.46,-0.2082560191847763,1.0012559059884036,-1.0665403658211698,2024-10-07
54,30:22.6,29.0,39.46,2.43,-0.2082560191847763,0.9922388606415424,-1.0801894559594012,2024-10-07
55,30:23.6,29.0,39.46,2.43,-0.2082560191847763,0.9922388606415424,-1.0801894559594012,2024-10-07
56,30:24.6,29.0,39.71,2.42,-0.2082560191847763,1.0072672695529779,-1.084739152672145,2024-10-07
57,30:25.6,29.0,39.42,2.42,-0.2082560191847763,0.9898343152157127,-1.084739152672145,2024-10-07
58,30:26.6,29.0,39.42,2.42,-0.2082560191847763,0.9898343152157127,-1.084739152672145,2024-10-07
59,30:27.6,29.0,39.47,2.42,-0.2082560191847763,0.9928399969979997,-1.084739152672145,2024-10-07
60,30:28.6,28.89999962,39.23,2.43,-0.35947479597258675,0.9784127244430215,-1.0801894559594012,2024-10-07
61,30:29.7,28.89999962,39.46,2.43,-0.35947479597258675,0.9922388606415424,-1.0801894559594012,2024-10-07
62,30:30.7,29.0,39.21,2.46,-0.2082560191847763,0.9772104517301069,-1.0665403658211698,2024-10-07
63,30:31.7,29.0,39.21,2.46,-0.2082560191847763,0.9772104517301069,-1.0665403658211698,2024-10-07
64,30:32.7,28.89999962,38.93,2.48,-0.35947479597258675,0.9603786337492991,-1.0574409723956824,2024-10-07
65,30:33.7,29.0,39.03,2.52,-0.2082560191847763,0.9663899973138733,-1.0392421855447072,2024-10-07
66,30:34.8,29.0,39.03,2.52,-0.2082560191847763,0.9663899973138733,-1.0392421855447072,2024-10-07
67,30:35.8,28.89999962,39.11,2.54,-0.35947479597258675,0.9711990881655326,-1.0301427921192194,2024-10-07
68,30:36.8,29.0,39.14,2.58,-0.2082560191847763,0.973002497234905,-1.0119440052682442,2024-10-07
69,30:37.8,29.0,39.14,2.58,-0.2082560191847763,0.973002497234905,-1.0119440052682442,2024-10-07
70,30:38.8,29.0,39.16,2.6,-0.2082560191847763,0.9742047699478196,-1.0028446118427565,2024-10-07
71,30:39.8,29.0,39.16,2.62,-0.2082560191847763,0.9742047699478196,-0.993745218417269,2024-10-07
72,30:40.8,29.0,39.04,2.65,-0.2082560191847763,0.9669911336703306,-0.9800961282790377,2024-10-07
73,30:41.8,29.0,39.04,2.65,-0.2082560191847763,0.9669911336703306,-0.9800961282790377,2024-10-07
74,30:42.8,29.0,38.86,2.68,-0.2082560191847763,0.9561706792540972,-0.9664470381408061,2024-10-07
75,30:43.8,29.0,38.86,2.68,-0.2082560191847763,0.9561706792540972,-0.9664470381408061,2024-10-07
76,30:44.8,29.0,39.09,2.7,-0.2082560191847763,0.9699968154526181,-0.9573476447153185,2024-10-07
77,30:45.8,28.89999962,39.03,2.72,-0.35947479597258675,0.9663899973138733,-0.9482482512898309,2024-10-07
78,30:46.8,28.89999962,39.03,2.72,-0.35947479597258675,0.9663899973138733,-0.9482482512898309,2024-10-07
79,30:47.8,28.89999962,38.97,2.73,-0.35947479597258675,0.9627831791751287,-0.9436985545770872,2024-10-07
80,30:48.8,28.89999962,38.7,2.76,-0.35947479597258675,0.9465524975507786,-0.9300494644388558,2024-10-07
81,30:49.8,28.89999962,38.97,2.77,-0.35947479597258675,0.9627831791751287,-0.925499767726112,2024-10-07
82,30:50.8,28.89999962,38.97,2.77,-0.35947479597258675,0.9627831791751287,-0.925499767726112,2024-10-07
83,30:51.8,28.89999962,38.95,2.78,-0.35947479597258675,0.9615809064622141,-0.9209500710133682,2024-10-07
84,30:52.8,28.89999962,39.22,2.81,-0.35947479597258675,0.9778115880865642,-0.9073009808751368,2024-10-07
85,30:53.8,28.89999962,39.22,2.81,-0.35947479597258675,0.9778115880865642,-0.9073009808751368,2024-10-07
86,30:54.8,28.89999962,39.09,2.82,-0.35947479597258675,0.9699968154526181,-0.902751284162393,2024-10-07
87,30:55.8,28.89999962,39.05,2.84,-0.35947479597258675,0.9675922700267879,-0.8936518907369054,2024-10-07
88,30:56.9,28.89999962,39.05,2.84,-0.35947479597258675,0.9675922700267879,-0.8936518907369054,2024-10-07
89,30:57.9,28.89999962,39.21,2.85,-0.35947479597258675,0.9772104517301069,-0.8891021940241615,2024-10-07
90,30:58.9,28.89999962,39.23,2.86,-0.35947479597258675,0.9784127244430215,-0.8845524973114178,2024-10-07
91,30:59.9,28.89999962,39.23,2.86,-0.35947479597258675,0.9784127244430215,-0.8845524973114178,2024-10-07
92,31:00.9,28.89999962,38.92,2.89,-0.35947479597258675,0.9597774973928418,-0.8709034071731863,2024-10-07
93,31:01.9,28.89999962,38.6,2.91,-0.35947479597258675,0.9405411339862043,-0.8618040137476987,2024-10-07
94,31:02.9,28.89999962,38.6,2.91,-0.35947479597258675,0.9405411339862043,-0.8618040137476987,2024-10-07
95,31:03.9,28.89999962,38.83,2.91,-0.35947479597258675,0.9543672701847248,-0.8618040137476987,2024-10-07
96,31:04.9,28.89999962,38.78,2.93,-0.35947479597258675,0.9513615884024379,-0.8527046203222111,2024-10-07
97,31:05.9,28.89999962,38.78,2.93,-0.35947479597258675,0.9513615884024379,-0.8527046203222111,2024-10-07
98,31:06.9,29.0,38.97,2.93,-0.2082560191847763,0.9627831791751287,-0.8527046203222111,2024-10-07
99,31:07.9,29.0,38.78,2.93,-0.2082560191847763,0.9513615884024379,-0.8527046203222111,2024-10-07
100,31:09.0,28.89999962,38.98,2.93,-0.35947479597258675,0.963384315531586,-0.8527046203222111,2024-10-07
101,31:09.9,28.89999962,39.07,2.92,-0.35947479597258675,0.968794542739703,-0.8572543170349549,2024-10-07
102,31:11.0,29.0,38.93,2.93,-0.2082560191847763,0.9603786337492991,-0.8527046203222111,2024-10-07
103,31:12.0,29.0,39.04,2.93,-0.2082560191847763,0.9669911336703306,-0.8527046203222111,2024-10-07
104,31:13.0,29.0,38.74,2.93,-0.2082560191847763,0.9489570429766082,-0.8527046203222111,2024-10-07
105,31:14.0,29.0,39.14,2.94,-0.2082560191847763,0.973002497234905,-0.8481549236094673,2024-10-07
106,31:15.0,28.89999962,38.81,2.95,-0.35947479597258675,0.9531649974718102,-0.8436052268967235,2024-10-07
107,31:16.0,28.89999962,38.94,2.96,-0.35947479597258675,0.9609797701057564,-0.8390555301839797,2024-10-07
108,31:17.0,29.0,38.71,2.96,-0.2082560191847763,0.947153633907236,-0.8390555301839797,2024-10-07
109,31:18.0,28.89999962,38.96,2.96,-0.35947479597258675,0.9621820428186714,-0.8390555301839797,2024-10-07
110,31:19.0,28.89999962,39.0,2.95,-0.35947479597258675,0.964586588244501,-0.8436052268967235,2024-10-07
111,31:20.0,28.89999962,38.87,2.95,-0.35947479597258675,0.9567718156105545,-0.8436052268967235,2024-10-07
112,31:21.0,28.89999962,39.37,2.93,-0.35947479597258675,0.9868286334334254,-0.8527046203222111,2024-10-07
113,31:22.0,28.89999962,38.85,2.92,-0.35947479597258675,0.9555695428976398,-0.8572543170349549,2024-10-07
114,31:23.0,28.89999962,39.05,2.9,-0.35947479597258675,0.9675922700267879,-0.8663537104604425,2024-10-07
115,31:24.0,28.89999962,38.71,2.89,-0.35947479597258675,0.947153633907236,-0.8709034071731863,2024-10-07
116,31:25.0,28.89999962,39.0,2.87,-0.35947479597258675,0.964586588244501,-0.8800028005986739,2024-10-07
117,31:26.0,28.89999962,39.1,2.85,-0.35947479597258675,0.9705979518090753,-0.8891021940241615,2024-10-07
118,31:27.0,28.89999962,39.01,2.83,-0.35947479597258675,0.9651877246009584,-0.8982015874496491,2024-10-07
119,31:28.0,28.89999962,39.1,2.81,-0.35947479597258675,0.9705979518090753,-0.9073009808751368,2024-10-07
120,31:29.0,28.89999962,39.03,2.79,-0.35947479597258675,0.9663899973138733,-0.9164003743006244,2024-10-07
121,31:30.0,28.89999962,39.32,2.77,-0.35947479597258675,0.9838229516511385,-0.925499767726112,2024-10-07
122,31:31.0,28.89999962,38.9,2.76,-0.35947479597258675,0.9585752246799267,-0.9300494644388558,2024-10-07
123,31:32.1,28.89999962,39.0,2.73,-0.35947479597258675,0.964586588244501,-0.9436985545770872,2024-10-07
124,31:33.1,28.89999962,38.68,2.72,-0.35947479597258675,0.9453502248378636,-0.9482482512898309,2024-10-07
125,31:34.1,28.89999962,38.9,2.7,-0.35947479597258675,0.9585752246799267,-0.9573476447153185,2024-10-07
126,31:35.1,28.89999962,38.85,2.68,-0.35947479597258675,0.9555695428976398,-0.9664470381408061,2024-10-07
127,31:36.1,28.89999962,38.96,2.66,-0.35947479597258675,0.9621820428186714,-0.9755464315662937,2024-10-07
128,31:37.1,28.89999962,38.92,2.65,-0.35947479597258675,0.9597774973928418,-0.9800961282790377,2024-10-07
129,31:38.1,28.89999962,38.84,2.64,-0.35947479597258675,0.9549684065411825,-0.9846458249917813,2024-10-07
130,31:39.1,28.89999962,39.18,2.62,-0.35947479597258675,0.9754070426607345,-0.993745218417269,2024-10-07
131,31:40.1,28.89999962,38.81,2.61,-0.35947479597258675,0.9531649974718102,-0.9982949151300129,2024-10-07
132,31:41.1,28.89999962,39.2,2.59,-0.35947479597258675,0.9766093153736496,-1.0073943085555006,2024-10-07
133,31:42.1,28.89999962,38.78,2.59,-0.35947479597258675,0.9513615884024379,-1.0073943085555006,2024-10-07
134,31:43.1,28.89999962,39.03,2.57,-0.35947479597258675,0.9663899973138733,-1.016493701980988,2024-10-07
135,31:44.1,28.89999962,38.82,2.57,-0.35947479597258675,0.9537661338282675,-1.016493701980988,2024-10-07
136,31:45.1,28.89999962,39.04,2.56,-0.35947479597258675,0.9669911336703306,-1.0210433986937317,2024-10-07
137,31:46.1,28.89999962,38.71,2.55,-0.35947479597258675,0.947153633907236,-1.0255930954064758,2024-10-07
138,31:47.1,28.89999962,38.98,2.55,-0.35947479597258675,0.963384315531586,-1.0255930954064758,2024-10-07
139,31:48.1,28.89999962,38.96,2.55,-0.35947479597258675,0.9621820428186714,-1.0255930954064758,2024-10-07
140,31:49.1,28.89999962,38.89,2.55,-0.35947479597258675,0.9579740883234694,-1.0255930954064758,2024-10-07
141,31:50.1,28.89999962,39.24,2.55,-0.35947479597258675,0.9790138607994793,-1.0255930954064758,2024-10-07
142,31:51.1,28.89999962,38.73,2.55,-0.35947479597258675,0.9483559066201505,-1.0255930954064758,2024-10-07
143,31:52.1,28.89999962,38.83,2.56,-0.35947479597258675,0.9543672701847248,-1.0210433986937317,2024-10-07
144,31:53.1,28.89999962,38.67,2.56,-0.35947479597258675,0.9447490884814063,-1.0210433986937317,2024-10-07
145,31:54.1,28.89999962,39.1,2.56,-0.35947479597258675,0.9705979518090753,-1.0210433986937317,2024-10-07
146,31:55.1,28.89999962,38.59,2.57,-0.35947479597258675,0.939939997629747,-1.016493701980988,2024-10-07
147,31:56.1,28.89999962,39.03,2.58,-0.35947479597258675,0.9663899973138733,-1.0119440052682442,2024-10-07
148,31:57.1,28.89999962,38.68,2.59,-0.35947479597258675,0.9453502248378636,-1.0073943085555006,2024-10-07
149,31:58.1,28.89999962,39.09,2.6,-0.35947479597258675,0.9699968154526181,-1.0028446118427565,2024-10-07
150,31:59.1,28.89999962,38.6,2.61,-0.35947479597258675,0.9405411339862043,-0.9982949151300129,2024-10-07
151,32:00.1,28.89999962,38.93,2.62,-0.35947479597258675,0.9603786337492991,-0.993745218417269,2024-10-07
152,32:01.1,28.89999962,38.71,2.63,-0.35947479597258675,0.947153633907236,-0.9891955217045253,2024-10-07
153,32:02.1,28.89999962,38.89,2.64,-0.35947479597258675,0.9579740883234694,-0.9846458249917813,2024-10-07
154,32:03.1,28.89999962,38.87,2.65,-0.35947479597258675,0.9567718156105545,-0.9800961282790377,2024-10-07
155,32:04.1,28.89999962,38.91,2.66,-0.35947479597258675,0.959176361036384,-0.9755464315662937,2024-10-07
156,32:05.1,28.89999962,39.19,2.67,-0.35947479597258675,0.9760081790171918,-0.9709967348535501,2024-10-07
157,32:06.1,28.89999962,38.81,2.69,-0.35947479597258675,0.9531649974718102,-0.9618973414280624,2024-10-07
158,32:07.1,28.89999962,38.82,2.71,-0.35947479597258675,0.9537661338282675,-0.9527979480025748,2024-10-07
159,32:08.1,28.89999962,39.03,2.71,-0.35947479597258675,0.9663899973138733,-0.9527979480025748,2024-10-07
160,32:09.1,28.89999962,38.74,2.73,-0.35947479597258675,0.9489570429766082,-0.9436985545770872,2024-10-07
161,32:10.1,28.89999962,39.0,2.75,-0.35947479597258675,0.964586588244501,-0.9345991611515996,2024-10-07
162,32:11.1,28.89999962,38.43,2.77,-0.35947479597258675,0.930321815926428,-0.925499767726112,2024-10-07
163,32:12.1,28.89999962,38.7,2.78,-0.35947479597258675,0.9465524975507786,-0.9209500710133682,2024-10-07
164,32:13.1,28.89999962,38.79,2.79,-0.35947479597258675,0.9519627247588952,-0.9164003743006244,2024-10-07
165,32:14.1,28.89999962,38.73,2.81,-0.35947479597258675,0.9483559066201505,-0.9073009808751368,2024-10-07
166,32:15.1,28.89999962,38.99,2.82,-0.35947479597258675,0.9639854518880437,-0.902751284162393,2024-10-07
167,32:16.1,28.89999962,38.56,2.84,-0.35947479597258675,0.9381365885603747,-0.8936518907369054,2024-10-07
168,32:17.1,28.89999962,38.88,2.86,-0.35947479597258675,0.9573729519670121,-0.8845524973114178,2024-10-07
169,32:18.1,28.89999962,38.35,2.88,-0.35947479597258675,0.9255127250747688,-0.8754531038859301,2024-10-07
170,32:19.1,28.89999962,38.63,2.88,-0.35947479597258675,0.9423445430555767,-0.8754531038859301,2024-10-07
171,32:20.1,28.89999962,38.62,2.89,-0.35947479597258675,0.9417434066991189,-0.8709034071731863,2024-10-07
172,32:21.1,28.89999962,38.62,2.91,-0.35947479597258675,0.9417434066991189,-0.8618040137476987,2024-10-07
173,32:22.1,28.89999962,38.8,2.91,-0.35947479597258675,0.9525638611153525,-0.8618040137476987,2024-10-07
174,32:23.1,28.89999962,38.57,2.93,-0.35947479597258675,0.938737724916832,-0.8527046203222111,2024-10-07
175,32:24.1,28.89999962,38.79,2.93,-0.35947479597258675,0.9519627247588952,-0.8527046203222111,2024-10-07
176,32:25.1,28.89999962,38.48,2.95,-0.35947479597258675,0.933327497708715,-0.8436052268967235,2024-10-07
177,32:26.1,28.89999962,38.77,2.95,-0.35947479597258675,0.9507604520459806,-0.8436052268967235,2024-10-07
178,32:27.2,28.89999962,38.63,2.96,-0.35947479597258675,0.9423445430555767,-0.8390555301839797,2024-10-07
179,32:28.2,28.89999962,38.61,2.97,-0.35947479597258675,0.9411422703426616,-0.8345058334712357,2024-10-07
180,32:29.2,28.89999962,38.63,2.98,-0.35947479597258675,0.9423445430555767,-0.8299561367584921,2024-10-07
181,32:30.2,28.89999962,38.68,2.99,-0.35947479597258675,0.9453502248378636,-0.8254064400457481,2024-10-07
182,32:31.2,28.89999962,38.97,2.99,-0.35947479597258675,0.9627831791751287,-0.8254064400457481,2024-10-07
183,32:32.2,28.89999962,38.47,3.0,-0.35947479597258675,0.9327263613522577,-0.8208567433330045,2024-10-07
184,32:33.2,28.89999962,38.37,3.02,-0.35947479597258675,0.9267149977876834,-0.8117573499075168,2024-10-07
185,32:34.2,28.89999962,38.37,3.02,-0.35947479597258675,0.9267149977876834,-0.8117573499075168,2024-10-07
186,32:35.2,28.89999962,38.55,3.02,-0.35947479597258675,0.937535452203917,-0.8117573499075168,2024-10-07
187,32:36.2,28.89999962,38.76,3.03,-0.35947479597258675,0.9501593156895228,-0.8072076531947732,2024-10-07
188,32:37.2,28.89999962,38.76,3.03,-0.35947479597258675,0.9501593156895228,-0.8072076531947732,2024-10-07
189,32:38.2,28.89999962,38.91,3.02,-0.35947479597258675,0.959176361036384,-0.8117573499075168,2024-10-07
190,32:39.2,28.89999962,38.82,3.03,-0.35947479597258675,0.9537661338282675,-0.8072076531947732,2024-10-07
191,32:40.2,28.89999962,38.82,3.03,-0.35947479597258675,0.9537661338282675,-0.8072076531947732,2024-10-07
192,32:41.3,28.89999962,38.31,3.04,-0.35947479597258675,0.9231081796489392,-0.8026579564820292,2024-10-07
193,32:42.3,28.89999962,38.63,3.04,-0.35947479597258675,0.9423445430555767,-0.8026579564820292,2024-10-07
194,32:43.3,28.89999962,38.59,3.04,-0.35947479597258675,0.939939997629747,-0.8026579564820292,2024-10-07
195,32:44.3,28.89999962,38.59,3.04,-0.35947479597258675,0.939939997629747,-0.8026579564820292,2024-10-07
196,32:45.3,28.89999962,38.87,3.03,-0.35947479597258675,0.9567718156105545,-0.8072076531947732,2024-10-07
197,32:46.3,28.89999962,38.34,3.04,-0.35947479597258675,0.9249115887183116,-0.8026579564820292,2024-10-07
198,32:47.3,28.89999962,38.65,3.03,-0.35947479597258675,0.9435468157684912,-0.8072076531947732,2024-10-07
199,32:48.3,28.89999962,38.57,3.02,-0.35947479597258675,0.938737724916832,-0.8117573499075168,2024-10-07
200,32:49.3,28.89999962,38.57,3.02,-0.35947479597258675,0.938737724916832,-0.8117573499075168,2024-10-07
201,32:50.3,28.89999962,38.37,3.03,-0.35947479597258675,0.9267149977876834,-0.8072076531947732,2024-10-07
202,32:51.3,28.89999962,38.63,3.02,-0.35947479597258675,0.9423445430555767,-0.8117573499075168,2024-10-07
203,32:52.3,28.89999962,38.51,3.01,-0.35947479597258675,0.9351309067780873,-0.8163070466202608,2024-10-07
204,32:53.4,28.89999962,38.7,3.01,-0.35947479597258675,0.9465524975507786,-0.8163070466202608,2024-10-07
205,32:54.4,28.89999962,38.7,3.01,-0.35947479597258675,0.9465524975507786,-0.8163070466202608,2024-10-07
206,32:55.4,28.89999962,38.48,3.01,-0.35947479597258675,0.933327497708715,-0.8163070466202608,2024-10-07
207,32:56.4,28.89999962,38.62,3.01,-0.35947479597258675,0.9417434066991189,-0.8163070466202608,2024-10-07
208,32:57.4,28.89999962,38.47,3.01,-0.35947479597258675,0.9327263613522577,-0.8163070466202608,2024-10-07
209,32:58.4,28.89999962,38.47,3.01,-0.35947479597258675,0.9327263613522577,-0.8163070466202608,2024-10-07
210,32:59.4,28.89999962,38.24,3.01,-0.35947479597258675,0.9189002251537373,-0.8163070466202608,2024-10-07
211,33:00.4,28.89999962,38.17,3.0,-0.35947479597258675,0.9146922706585353,-0.8208567433330045,2024-10-07
212,33:01.4,28.89999962,38.17,3.0,-0.35947479597258675,0.9146922706585353,-0.8208567433330045,2024-10-07
213,33:02.4,28.89999962,38.18,3.0,-0.35947479597258675,0.9152934070149926,-0.8208567433330045,2024-10-07
