,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
8,56:29.5,32.40000153,48.39,5.53,2.9357257138540116,0.6393597751477254,-0.8434526886837793,2024-10-21
9,56:30.5,32.29999924,48.42,5.54,2.8155831593774443,0.6417028853110587,-0.8248225273517046,2024-10-21
10,56:31.5,32.29999924,48.39,5.54,2.8155831593774443,0.6393597751477254,-0.8248225273517046,2024-10-21
11,56:32.5,32.20000076,34.67,5.99,2.695445182227385,-0.4322226062167001,0.013534732591676814,2024-10-21
12,56:33.5,32.09999847,48.31,5.56,2.5753026277508178,0.6331114813788367,-0.7875622046875551,2024-10-21
13,56:34.5,32.09999847,48.28,5.57,2.5753026277508178,0.6307683712155033,-0.7689320433554787,2024-10-21
14,56:35.5,31.89999962,48.17,5.57,2.335024402808404,0.6221769672832813,-0.7689320433554787,2024-10-21
15,56:36.5,31.89999962,48.17,5.58,2.335024402808404,0.6221769672832813,-0.750301882023404,2024-10-21
16,56:37.5,31.79999924,48.17,5.59,2.2148841430020774,0.6221769672832813,-0.7316717206913292,2024-10-21
17,56:38.5,31.79999924,48.14,5.59,2.2148841430020774,0.6198338571199479,-0.7316717206913292,2024-10-21
18,56:39.6,31.70000076,48.06,5.6,2.0947461658520177,0.6135855633510593,-0.7130415593592545,2024-10-21
19,56:40.6,31.70000076,48.06,5.6,2.0947461658520177,0.6135855633510593,-0.7130415593592545,2024-10-21
20,56:41.6,31.70000076,48.03,5.61,2.0947461658520177,0.6112424531877259,-0.6944113980271781,2024-10-21
21,56:42.6,31.60000038,47.99,5.61,1.9746059060456909,0.6081183063032816,-0.6944113980271781,2024-10-21
22,56:43.6,31.5,36.6,5.99,1.854465646239364,-0.28148251904225835,0.013534732591676814,2024-10-21
23,56:44.6,31.5,7.32,7.06,1.854465646239364,-2.5683580384555516,2.006961995123715,2024-10-21
24,56:45.6,31.5,47.92,5.62,1.854465646239364,0.6026510492555038,-0.6757812366951034,2024-10-21
25,56:46.9,31.39999962,16.23,6.73,1.7343253864330372,-1.8724543199455637,1.3921666711652372,2024-10-21
26,56:47.9,31.39999962,16.23,6.73,1.7343253864330372,-1.8724543199455637,1.3921666711652372,2024-10-21
27,56:48.9,31.29999924,47.84,5.63,1.6141851266267102,0.5964027554866151,-0.6571510753630286,2024-10-21
28,56:49.9,31.29999924,39.67,5.89,1.6141851266267102,-0.04170424566115144,-0.17276688072907553,2024-10-21
29,56:50.9,31.29999924,47.78,5.64,1.6141851266267102,0.5917165351599484,-0.6385209140309539,2024-10-21
30,56:51.9,31.20000076,47.74,5.65,1.494047149476651,0.5885923882755041,-0.6198907526988775,2024-10-21
31,56:52.9,31.20000076,47.74,5.65,1.494047149476651,0.5885923882755041,-0.6198907526988775,2024-10-21
32,56:53.9,31.20000076,47.72,5.65,1.494047149476651,0.5870303148332817,-0.6198907526988775,2024-10-21
33,56:54.9,31.20000076,47.67,5.66,1.494047149476651,0.5831251312277264,-0.6012605913668028,2024-10-21
34,56:55.9,31.20000076,47.67,5.66,1.494047149476651,0.5831251312277264,-0.6012605913668028,2024-10-21
35,56:56.9,31.10000038,47.64,5.66,1.373906889670324,0.580782021064393,-0.6012605913668028,2024-10-21
36,56:57.9,31.10000038,47.61,5.66,1.373906889670324,0.5784389109010596,-0.6012605913668028,2024-10-21
37,56:58.9,31.10000038,47.61,5.66,1.373906889670324,0.5784389109010596,-0.6012605913668028,2024-10-21
38,56:59.9,31.0,47.56,5.67,1.2537666298639971,0.5745337272955043,-0.582630430034728,2024-10-21
39,57:00.9,31.0,47.56,5.67,1.2537666298639971,0.5745337272955043,-0.582630430034728,2024-10-21
40,57:01.9,31.0,43.28,5.81,1.2537666298639971,0.24025001065995463,-0.32180817138567674,2024-10-21
41,57:03.0,31.0,47.5,5.68,1.2537666298639971,0.5698475069688376,-0.5640002687026533,2024-10-21
42,57:04.0,30.89999962,47.48,5.68,1.13362637005767,0.5682854335266152,-0.5640002687026533,2024-10-21
43,57:05.0,30.89999962,47.48,5.68,1.13362637005767,0.5682854335266152,-0.5640002687026533,2024-10-21
44,57:06.0,30.89999962,22.81,6.52,1.13362637005767,-1.3585321574544618,1.0009332831916578,2024-10-21
45,57:07.0,30.89999962,47.45,5.68,1.13362637005767,0.5659423233632823,-0.5640002687026533,2024-10-21
46,57:08.0,30.89999962,44.89,5.77,1.13362637005767,0.36599692275884127,-0.39632881671397735,2024-10-21
47,57:09.0,30.89999962,44.89,5.77,1.13362637005767,0.36599692275884127,-0.39632881671397735,2024-10-21
48,57:10.0,30.79999924,47.39,5.69,1.0134861102513433,0.5612561030366156,-0.5453701073705769,2024-10-21
49,57:11.1,30.79999924,47.38,5.7,1.0134861102513433,0.5604750663155047,-0.5267399460385022,2024-10-21
50,57:12.1,30.79999924,47.38,5.7,1.0134861102513433,0.5604750663155047,-0.5267399460385022,2024-10-21
51,57:13.1,30.79999924,47.36,5.7,1.0134861102513433,0.5589129928732822,-0.5267399460385022,2024-10-21
52,57:14.1,30.79999924,47.36,5.7,1.0134861102513433,0.5589129928732822,-0.5267399460385022,2024-10-21
53,57:15.1,30.70000076,47.31,5.71,0.8933481331012839,0.555007809267727,-0.5081097847064274,2024-10-21
54,57:16.1,30.70000076,47.31,5.71,0.8933481331012839,0.555007809267727,-0.5081097847064274,2024-10-21
55,57:17.1,30.70000076,47.27,5.71,0.8933481331012839,0.5518836623832826,-0.5081097847064274,2024-10-21
56,57:18.1,30.70000076,47.27,5.71,0.8933481331012839,0.5518836623832826,-0.5081097847064274,2024-10-21
57,57:19.1,30.70000076,22.84,6.56,0.8933481331012839,-1.3561890472911284,1.0754539285199585,2024-10-21
58,57:20.1,30.70000076,22.84,6.56,0.8933481331012839,-1.3561890472911284,1.0754539285199585,2024-10-21
59,57:21.1,30.70000076,47.23,5.72,0.8933481331012839,0.5487595154988377,-0.4894796233743527,2024-10-21
60,57:22.1,30.60000038,47.2,5.73,0.773207873294957,0.546416405335505,-0.4708494620422763,2024-10-21
61,57:23.1,30.60000038,47.2,5.73,0.773207873294957,0.546416405335505,-0.4708494620422763,2024-10-21
62,57:24.1,30.60000038,46.88,5.73,0.773207873294957,0.5214232302599497,-0.4708494620422763,2024-10-21
63,57:25.1,30.60000038,47.15,5.73,0.773207873294957,0.5425112217299491,-0.4708494620422763,2024-10-21
64,57:26.1,30.60000038,47.15,5.73,0.773207873294957,0.5425112217299491,-0.4708494620422763,2024-10-21
65,57:27.1,30.60000038,7.24,7.17,0.773207873294957,-2.57460633222444,2.211893769776542,2024-10-21
66,57:28.1,30.60000038,47.15,5.73,0.773207873294957,0.5425112217299491,-0.4708494620422763,2024-10-21
67,57:29.1,30.60000038,46.02,5.76,0.773207873294957,0.45425407224439546,-0.4149589780460521,2024-10-21
68,57:30.1,30.60000038,46.02,5.76,0.773207873294957,0.45425407224439546,-0.4149589780460521,2024-10-21
69,57:31.1,30.5,47.09,5.74,0.6530676134886301,0.5378250014032829,-0.45221930071020155,2024-10-21
70,57:32.1,30.5,47.09,5.74,0.6530676134886301,0.5378250014032829,-0.45221930071020155,2024-10-21
71,57:33.1,30.5,47.08,5.75,0.6530676134886301,0.5370439646821714,-0.4335891393781268,2024-10-21
72,57:34.1,30.5,47.08,5.75,0.6530676134886301,0.5370439646821714,-0.4335891393781268,2024-10-21
73,57:35.1,30.5,47.04,5.74,0.6530676134886301,0.5339198177977271,-0.45221930071020155,2024-10-21
74,57:36.1,30.5,47.05,5.74,0.6530676134886301,0.534700854518838,-0.45221930071020155,2024-10-21
75,57:37.1,30.5,47.05,5.74,0.6530676134886301,0.534700854518838,-0.45221930071020155,2024-10-21
76,57:38.1,30.39999962,8.81,7.11,0.5329273536823033,-2.451983567009998,2.100112801784092,2024-10-21
77,57:39.1,30.39999962,46.87,5.74,0.5329273536823033,0.5206421935388383,-0.45221930071020155,2024-10-21
78,57:40.1,30.39999962,47.03,5.74,0.5329273536823033,0.5331387810766162,-0.45221930071020155,2024-10-21
79,57:41.1,30.39999962,46.97,5.74,0.5329273536823033,0.5284525607499494,-0.45221930071020155,2024-10-21
80,57:42.1,30.39999962,46.97,5.74,0.5329273536823033,0.5284525607499494,-0.45221930071020155,2024-10-21
81,57:43.1,30.39999962,46.79,5.75,0.5329273536823033,0.5143938997699496,-0.4335891393781268,2024-10-21
82,57:44.1,30.39999962,46.96,5.74,0.5329273536823033,0.5276715240288384,-0.45221930071020155,2024-10-21
83,57:45.2,30.39999962,46.96,5.74,0.5329273536823033,0.5276715240288384,-0.45221930071020155,2024-10-21
84,57:46.2,30.39999962,33.73,6.19,0.5329273536823033,-0.5056400580011436,0.38613795923317984,2024-10-21
85,57:47.2,30.29999924,41.5,5.92,0.4127870938759763,0.10122547430217924,-0.11687639673284966,2024-10-21
86,57:48.2,30.29999924,41.5,5.92,0.4127870938759763,0.10122547430217924,-0.11687639673284966,2024-10-21
