,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
18,43:04.7,26.79999924,49.26,4.41,1.324447442395104,0.20288843766506942,0.045468386263536324,2024-12-16
19,43:05.8,26.79999924,49.83,4.31,1.324447442395104,0.26737778838791926,-0.11810209526289261,2024-12-16
20,43:06.8,26.79999924,49.83,4.31,1.324447442395104,0.26737778838791926,-0.11810209526289261,2024-12-16
21,43:07.7,26.79999924,49.65,4.28,1.324447442395104,0.24701273026491408,-0.16717323972082,2024-12-16
22,43:08.8,26.79999924,49.66,4.26,1.324447442395104,0.2481441223828586,-0.19988733602610637,2024-12-16
23,43:09.8,26.79999924,49.49,4.23,1.324447442395104,0.22891045637779875,-0.24895848048403374,2024-12-16
24,43:10.8,26.79999924,49.64,4.21,1.324447442395104,0.24588133814696958,-0.2816725767893201,2024-12-16
25,43:11.8,26.89999962,49.66,4.19,2.9921039409236396,0.2481441223828586,-0.314386673094605,2024-12-16
26,43:12.8,26.89999962,49.64,4.15,2.9921039409236396,0.24588133814696958,-0.3798148657051763,2024-12-16
27,43:13.8,26.89999962,49.64,4.15,2.9921039409236396,0.24588133814696958,-0.3798148657051763,2024-12-16
28,43:14.8,26.89999962,49.67,4.12,2.9921039409236396,0.2492755145008039,-0.4288860101631051,2024-12-16
29,43:15.8,26.89999962,49.67,4.11,2.9921039409236396,0.2492755145008039,-0.44524305831574756,2024-12-16
30,43:16.8,26.89999962,49.67,4.11,2.9921039409236396,0.2492755145008039,-0.44524305831574756,2024-12-16
31,43:17.8,26.89999962,49.68,4.09,2.9921039409236396,0.2504069066187484,-0.47795715462103394,2024-12-16
32,43:18.8,26.89999962,49.69,4.08,2.9921039409236396,0.2515382987366929,-0.4943142027736764,2024-12-16
33,43:19.8,26.89999962,49.69,4.08,2.9921039409236396,0.2515382987366929,-0.4943142027736764,2024-12-16
34,43:20.8,26.89999962,49.69,4.07,2.9921039409236396,0.2515382987366929,-0.5106712509263188,2024-12-16
35,43:21.9,26.89999962,49.63,4.06,2.9921039409236396,0.24474994602902508,-0.5270282990789628,2024-12-16
36,43:22.9,26.89999962,49.63,4.06,2.9921039409236396,0.24474994602902508,-0.5270282990789628,2024-12-16
37,43:23.9,26.89999962,49.62,4.04,2.9921039409236396,0.24361855391107975,-0.5597423953842476,2024-12-16
38,43:24.9,26.89999962,49.62,4.04,2.9921039409236396,0.24361855391107975,-0.5597423953842476,2024-12-16
39,43:25.9,26.89999962,49.69,4.04,2.9921039409236396,0.2515382987366929,-0.5597423953842476,2024-12-16
40,43:26.9,26.89999962,49.65,4.03,2.9921039409236396,0.24701273026491408,-0.5760994435368901,2024-12-16
41,43:27.9,26.79999924,49.65,4.02,1.324447442395104,0.24701273026491408,-0.5924564916895341,2024-12-16
42,43:28.9,26.89999962,49.65,4.0,2.9921039409236396,0.24701273026491408,-0.625170587994819,2024-12-16
43,43:29.9,26.89999962,49.65,4.0,2.9921039409236396,0.24701273026491408,-0.625170587994819,2024-12-16
44,43:30.9,26.79999924,49.67,4.0,1.324447442395104,0.2492755145008039,-0.625170587994819,2024-12-16
45,43:31.9,26.79999924,49.68,3.99,1.324447442395104,0.2504069066187484,-0.6415276361474614,2024-12-16
46,43:32.9,26.79999924,49.68,3.99,1.324447442395104,0.2504069066187484,-0.6415276361474614,2024-12-16
47,43:33.9,26.79999924,49.66,3.98,1.324447442395104,0.2481441223828586,-0.6578846843001046,2024-12-16
48,43:34.9,26.79999924,49.72,3.96,1.324447442395104,0.25493247509052724,-0.6905987806053903,2024-12-16
49,43:35.9,26.79999924,49.72,3.96,1.324447442395104,0.25493247509052724,-0.6905987806053903,2024-12-16
50,43:36.9,26.79999924,49.71,3.96,1.324447442395104,0.25380108297258275,-0.6905987806053903,2024-12-16
51,43:37.9,26.79999924,49.71,3.95,1.324447442395104,0.25380108297258275,-0.7069558287580328,2024-12-16
52,43:38.9,26.79999924,49.71,3.95,1.324447442395104,0.25380108297258275,-0.7069558287580328,2024-12-16
53,43:39.9,26.79999924,49.74,3.95,1.324447442395104,0.25719525932641707,-0.7069558287580328,2024-12-16
